"cancion_id";"titulo";"artista_id";"album";"anio_lanzamiento";"duracion_seg";"genero";"subgenero";"energia";"bailabilidad";"valencia";"acusticidad";"instrumentalidad";"tempo";"volumen_db";"explicito";"nombre_artistico";"seguidores";"total_reproducciones";"reproducciones_completadas";"ratio_completadas";"puntuacion_media";"num_valoraciones";"en_chart";"mejor_posicion_chart";"semanas_en_chart";"num_playlists"
413;"Tema 413";165;"Sofia González - Reincidencia";"2023";240;"indie";"indie-rock";0.66;0.3;0.75;0.34;0.15;177;-28.3;0;"Sofia González";293887;26;15.0;0.5769;4.0;5;1;7;3;3
414;"Tema 414";147;"Laura Fernández - Vueltas";"2020";375;"reggaeton";"reggaeton-romantico";0.73;0.9;0.51;0.17;0.01;140;-18.6;1;"Laura Fernández";2831476;20;13.0;0.65;3.78;9;1;19;4;3
415;"Tema 415";128;"Sofia Torres - Evolución";"2020";172;"clasica";"musica-clasica-instrumental";0.27;0.01;0.26;0.82;0.2;165;-17.9;1;"Sofia Torres";5924034;24;18.0;0.75;3.82;11;0;0;0;4
416;"Tema 416";141;"Carlos Smith - Debut";"2020";275;"rap";"mumble-rap";0.86;0.81;0.3;0.09;0.39;112;-14.4;0;"Carlos Smith";9856029;26;16.0;0.6154;3.67;3;1;24;1;3
417;"Tema 417";117;"Miguel Johnson - Nuevo";"2022";147;"indie";"indie-pop";0.64;0.36;0.69;0.59;0.21;176;-0.7;0;"Miguel Johnson";4893906;29;20.0;0.6897;3.93;14;1;5;2;3
418;"Tema 418";197;"Emma López - 25 Aniversario";"2024";362;"latin";"merengue";0.64;0.7;0.83;0.52;0.05;175;-22.0;1;"Emma López";3893396;23;14.0;0.6087;4.0;12;1;33;2;3
419;"Tema 419";195;"Francisco Fernández - Regreso";"2021";121;"r&b";"r&b-contemporaneo";0.41;0.59;0.71;0.31;0.14;150;-18.8;0;"Francisco Fernández";1252139;25;15.0;0.6;3.22;9;1;15;1;3
420;"Tema 420";75;"Daddy Yankee - Cambio de Dirección";"2024";311;"rock";"rock-duro";0.6;0.39;0.56;0.49;0.34;71;-29.3;0;"Daddy Yankee";10316767;24;19.0;0.7917;3.9;10;1;11;3;7
421;"Tema 421";127;"María Sánchez - Tercero";"2023";174;"latin";"merengue";0.91;0.9;0.83;0.38;0.16;110;-20.9;1;"María Sánchez";5121489;32;18.0;0.5625;4.29;7;1;17;2;1
422;"Tema 422";101;"José Brown - Cuarto";"2023";217;"rock";"rock-progresivo";0.63;0.37;0.4;0.29;0.3;87;-15.8;0;"José Brown";105801;25;19.0;0.76;4.5;8;1;12;2;4
423;"Tema 423";12;"Juan Luis Guerra - Regreso";"2024";183;"rock";"hard-rock";0.62;0.59;0.68;0.41;0.4;177;-13.7;0;"Juan Luis Guerra";17617787;18;11.0;0.6111;4.43;7;1;25;2;1
424;"Tema 424";130;"Carlos Rodríguez - Tercero";"2023";122;"r&b";"r&b-soul";0.74;0.52;0.55;0.19;0.08;170;-25.8;0;"Carlos Rodríguez";2154628;24;17.0;0.7083;4.14;7;1;29;1;4
425;"Tema 425";124;"Luis García - Cambio de Dirección";"2021";208;"latin";"salsa";0.82;0.9;0.77;0.26;0.32;86;-10.9;0;"Luis García";359776;20;15.0;0.75;4.0;6;1;16;5;4
426;"Tema 426";154;"Francisco Rodríguez - 25 Aniversario";"2022";378;"rap";"rap-consciente";0.82;0.84;0.4;0.07;0.37;167;-21.3;0;"Francisco Rodríguez";2026816;24;16.0;0.6667;4.33;6;1;21;2;2
427;"Tema 427";178;"Miguel González - Reflexión";"2021";260;"indie";"dream-pop";0.53;0.65;0.65;0.23;0.06;147;-29.8;0;"Miguel González";1476876;26;16.0;0.6154;3.44;9;1;41;1;3
428;"Tema 428";116;"David López - Reflexión";"2021";190;"rap";"rap-consciente";0.89;0.76;0.35;0.19;0.21;191;-22.7;0;"David López";6164559;16;13.0;0.8125;3.25;8;1;4;2;5
429;"Tema 429";180;"José García - Cambio de Dirección";"2022";231;"electronica";"techno";0.8;0.84;0.34;0.04;0.32;113;-16.2;0;"José García";453833;27;14.0;0.5185;4.0;8;1;4;5;4
430;"Tema 430";75;"Daddy Yankee - Regreso";"2022";187;"rock";"rock-alternativo";0.82;0.43;0.32;0.17;0.18;188;-23.7;0;"Daddy Yankee";10316767;20;17.0;0.85;3.8;5;1;6;3;3
431;"Tema 431";164;"Alex García - Nuevo";"2020";300;"rock";"grunge";0.62;0.55;0.69;0.42;0.34;182;-22.7;0;"Alex García";2312155;26;17.0;0.6538;3.7;10;1;6;3;4
432;"Tema 432";171;"Alex Ramírez - Evolución";"2023";393;"pop";"pop-latino";0.78;0.57;0.88;0.4;0.28;168;-0.6;0;"Alex Ramírez";3405555;31;23.0;0.7419;3.58;12;1;9;3;7
433;"Tema 433";134;"Emma Fernández - Segundo Album";"2020";315;"pop";"pop-urbano";0.63;0.59;0.67;0.28;0.03;73;-11.3;0;"Emma Fernández";1245725;31;23.0;0.7419;3.6;10;1;19;5;3
434;"Tema 434";52;"Coldplay - Quinto";"2021";266;"flamenco";"flamenco-pop";0.89;0.48;0.72;0.96;0.38;97;-1.2;0;"Coldplay";12437963;27;19.0;0.7037;4.08;12;1;16;1;2
435;"Tema 435";177;"Luis López - Reflexión";"2022";224;"flamenco";"flamenco-puro";0.71;0.79;0.7;0.66;0.19;151;-8.5;0;"Luis López";3532637;24;18.0;0.75;4.0;9;1;26;3;1
436;"Tema 436";27;"Sfdk - 25 Aniversario";"2024";234;"indie";"post-punk";0.42;0.52;0.63;0.28;0.23;159;-6.9;1;"Sfdk";1213679;30;25.0;0.8333;3.86;7;1;2;4;3
437;"Tema 437";179;"Luis Green - Quinto";"2020";315;"clasica";"musica-clasica-instrumental";0.35;0.0;0.2;0.81;0.37;166;-23.1;0;"Luis Green";8291031;22;16.0;0.7273;4.29;7;1;13;4;2
438;"Tema 438";176;"Diego López - Nuevo";"2024";147;"electronica";"house";0.85;0.68;0.46;0.13;0.29;124;-27.1;1;"Diego López";584812;26;17.0;0.6538;4.0;4;1;15;6;1
439;"Tema 439";200;"Emma López - Vueltas";"2021";308;"reggaeton";"reggaeton-trap";0.83;0.81;0.59;0.13;0.05;109;-21.3;0;"Emma López";4550686;23;15.0;0.6522;3.6;5;1;8;3;4
440;"Tema 440";46;"Doja Cat - Regreso";"2020";215;"rap";"hip-hop";0.82;0.92;0.7;0.01;0.3;191;-18.8;1;"Doja Cat";9190046;26;18.0;0.6923;3.75;4;1;8;3;3
441;"Tema 441";11;"Javier Álvarez - Reincidencia";"2022";255;"pop";"pop-urbano";0.56;0.76;0.87;0.39;0.23;101;-19.3;0;"Javier Álvarez";203996;33;24.0;0.7273;4.25;4;1;6;4;4
442;"Tema 442";66;"J. Cole - Debut";"2022";358;"r&b";"neo-soul";0.68;0.58;0.63;0.24;0.26;70;-22.8;1;"J. Cole";6759256;17;15.0;0.8824;4.14;7;1;4;3;8
443;"Tema 443";83;"David Rodríguez - 25 Aniversario";"2020";274;"pop";"pop-rock";0.48;0.82;0.54;0.25;0.09;200;-28.8;0;"David Rodríguez";1215456;20;12.0;0.6;2.83;6;1;27;3;2
444;"Tema 444";182;"Alex González - Nuevo";"2024";232;"flamenco";"flamenco-fusión";0.51;0.47;0.75;0.71;0.38;193;-12.6;1;"Alex González";371332;32;26.0;0.8125;4.64;11;1;3;3;5
445;"Tema 445";130;"Carlos Rodríguez - Tercero";"2023";398;"r&b";"smooth-jazz";0.55;0.67;0.61;0.4;0.11;83;-19.4;0;"Carlos Rodríguez";2154628;21;16.0;0.7619;4.75;4;1;7;3;3
446;"Tema 446";55;"Arctic Monkeys - Regreso";"2022";289;"indie";"indie-folk";0.75;0.67;0.75;0.41;0.31;135;-15.7;1;"Arctic Monkeys";7788435;30;23.0;0.7667;4.13;8;1;21;1;5
447;"Tema 447";193;"Ana Ramírez - 25 Aniversario";"2024";363;"reggaeton";"reggaeton-puro";0.85;0.84;0.64;0.04;0.13;89;-4.3;0;"Ana Ramírez";6930323;19;10.0;0.5263;4.1;10;1;19;1;3
448;"Tema 448";115;"Diego García - Cuarto";"2024";244;"rap";"trap-latino";0.76;0.62;0.33;0.19;0.2;142;-17.7;0;"Diego García";3020482;38;25.0;0.6579;4.09;11;1;25;1;2
449;"Tema 449";30;"Bunbury - Reincidencia";"2022";396;"flamenco";"flamenco-pop";0.82;0.73;0.53;0.88;0.31;66;-10.4;0;"Bunbury";337819;29;22.0;0.7586;3.25;8;1;5;4;6
450;"Tema 450";198;"Sofia Pérez - Nuevo";"2024";380;"reggaeton";"reggaeton-romantico";0.75;0.98;0.62;0.06;0.17;184;-28.9;1;"Sofia Pérez";6832292;25;20.0;0.8;4.0;6;1;3;1;4
451;"Tema 451";167;"Ana Smith - Cuarto";"2022";383;"latin";"cumbia";0.64;0.89;0.6;0.37;0.21;84;-28.4;1;"Ana Smith";1170430;29;20.0;0.6897;3.71;7;0;0;0;4
452;"Tema 452";198;"Sofia Pérez - Cambio de Dirección";"2024";123;"reggaeton";"reggaeton-puro";0.99;0.85;0.52;0.06;0.09;113;-30.0;0;"Sofia Pérez";6832292;28;20.0;0.7143;3.2;5;1;1;6;3
453;"Tema 453";199;"Ana Ramírez - Cuarto";"2023";173;"flamenco";"flamenco-fusión";0.79;0.79;0.49;0.87;0.3;197;-4.5;0;"Ana Ramírez";6553397;17;9.0;0.5294;3.89;9;1;42;3;1
454;"Tema 454";190;"Sofia Ramírez - Reflexión";"2023";156;"rock";"rock-alternativo";0.77;0.39;0.43;0.39;0.33;66;-24.6;0;"Sofia Ramírez";840631;28;18.0;0.6429;3.9;10;1;5;4;4
455;"Tema 455";85;"José Johnson - Debut";"2020";157;"reggaeton";"reggaeton-puro";0.81;0.98;0.72;0.2;0.3;105;-18.2;0;"José Johnson";1127465;27;14.0;0.5185;4.11;9;1;1;3;0
456;"Tema 456";143;"Sofia Torres - Segundo Album";"2024";236;"electronica";"deep-house";0.84;0.83;0.34;0.08;0.28;164;-25.0;0;"Sofia Torres";2072977;28;24.0;0.8571;3.58;12;1;5;4;2
457;"Tema 457";162;"Francisco Pérez - Reincidencia";"2023";281;"indie";"indie-rock";0.69;0.49;0.78;0.22;0.11;159;-12.0;0;"Francisco Pérez";3011511;24;11.0;0.4583;3.63;8;1;2;4;6
458;"Tema 458";137;"Ana Ramírez - Debut";"2024";152;"electronica";"trance";0.72;0.85;0.68;0.02;0.21;71;-14.7;0;"Ana Ramírez";2204358;25;18.0;0.72;4.0;10;1;23;1;6
459;"Tema 459";19;"Alejandro Sanz - Nuevo";"2024";174;"r&b";"r&b-contemporaneo";0.53;0.78;0.73;0.38;0.29;137;-16.1;0;"Alejandro Sanz";2927685;16;9.0;0.5625;4.17;6;1;4;2;4
460;"Tema 460";73;"Reggaeton Kings - Reflexión";"2023";315;"pop";"pop-rock";0.77;0.74;0.79;0.36;0.11;67;-5.8;0;"Reggaeton Kings";544299;23;12.0;0.5217;3.43;7;1;24;3;1
461;"Tema 461";137;"Ana Ramírez - Cuarto";"2021";320;"electronica";"trance";0.68;0.72;0.47;0.15;0.34;135;-9.0;0;"Ana Ramírez";2204358;30;20.0;0.6667;3.4;5;1;37;4;7
462;"Tema 462";37;"Ed Sheeran - Quinto";"2022";125;"indie";"post-punk";0.66;0.48;0.77;0.45;0.15;96;-25.1;1;"Ed Sheeran";3406302;18;11.0;0.6111;3.75;12;1;33;1;6
463;"Tema 463";2;"Recycled J - 25 Aniversario";"2024";321;"rap";"mumble-rap";0.94;0.86;0.45;0.01;0.34;200;-29.7;0;"Recycled J";15150607;19;14.0;0.7368;3.5;2;1;8;3;3
464;"Tema 464";79;"David Stone - Cuarto";"2022";228;"indie";"dream-pop";0.65;0.69;0.52;0.32;0.28;191;-5.5;1;"David Stone";1341678;26;23.0;0.8846;4.14;7;1;3;2;2
465;"Tema 465";48;"Khalid - Cuarto";"2024";249;"pop";"pop-urbano";0.62;0.84;0.52;0.25;0.29;89;-4.1;1;"Khalid";6372887;22;14.0;0.6364;4.0;9;1;38;1;9
466;"Tema 466";146;"María Fernández - Debut";"2024";356;"flamenco";"flamenco-puro";0.57;0.72;0.62;0.76;0.05;134;-4.0;0;"María Fernández";122753;35;25.0;0.7143;4.25;4;1;25;3;6
467;"Tema 467";65;"Kendrick Lamar - Segundo Album";"2021";369;"pop";"pop-latino";0.46;0.61;0.62;0.36;0.27;151;-6.1;1;"Kendrick Lamar";3138422;27;19.0;0.7037;4.33;6;1;11;4;2
468;"Tema 468";168;"Gabriel Pérez - Cuarto";"2020";265;"r&b";"r&b-soul";0.49;0.69;0.63;0.43;0.36;109;-29.6;0;"Gabriel Pérez";629296;19;9.0;0.4737;4.0;7;1;21;3;5
469;"Tema 469";116;"David López - Nuevo";"2024";276;"rap";"mumble-rap";0.9;0.62;0.52;0.06;0.12;99;-19.4;0;"David López";6164559;29;20.0;0.6897;4.25;4;1;2;3;1
470;"Tema 470";94;"José Rodríguez - Reflexión";"2022";339;"flamenco";"flamenco-fusión";0.75;0.53;0.69;0.76;0.03;61;-6.5;0;"José Rodríguez";2481662;34;22.0;0.6471;3.5;10;1;27;4;2
471;"Tema 471";57;"David Bowie - Evolución";"2023";261;"latin";"merengue";0.7;0.81;0.81;0.33;0.02;94;-18.8;0;"David Bowie";1241243;25;21.0;0.84;4.5;6;1;24;2;4
472;"Tema 472";85;"José Johnson - Vueltas";"2023";348;"reggaeton";"perreo";0.98;0.93;0.67;0.13;0.08;138;-17.4;0;"José Johnson";1127465;21;19.0;0.9048;4.5;4;1;25;2;0
473;"Tema 473";28;"La Casa Azul - Tercero";"2024";161;"r&b";"r&b-contemporaneo";0.66;0.53;0.51;0.21;0.17;95;-0.6;0;"La Casa Azul";3710145;25;19.0;0.76;4.22;9;1;18;1;2
474;"Tema 474";51;"Bruno Mars - Quinto";"2020";158;"clasica";"orquesta";0.13;0.16;0.29;0.99;0.05;189;-17.9;0;"Bruno Mars";28442457;16;11.0;0.6875;3.75;8;1;15;3;5
475;"Tema 475";149;"David Stone - 25 Aniversario";"2023";228;"flamenco";"flamenco-puro";0.8;0.68;0.57;0.74;0.16;126;-22.1;0;"David Stone";168553;26;14.0;0.5385;3.29;7;1;14;3;1
476;"Tema 476";139;"Ana García - Vueltas";"2021";307;"pop";"pop-rock";0.48;0.67;0.61;0.19;0.26;117;-0.9;0;"Ana García";1365923;23;19.0;0.8261;4.33;3;1;17;6;2
477;"Tema 477";151;"María García - Evolución";"2022";188;"latin";"bachata";0.81;0.72;0.62;0.58;0.12;188;-27.2;0;"María García";7176582;27;19.0;0.7037;3.44;9;1;6;2;7
478;"Tema 478";102;"David Torres - Nuevo";"2024";125;"rock";"rock-alternativo";0.84;0.49;0.56;0.21;0.01;102;-1.0;0;"David Torres";3045188;30;23.0;0.7667;3.57;7;1;9;3;3
479;"Tema 479";36;"Ariana Grande - Vueltas";"2021";211;"electronica";"trance";0.7;0.84;0.65;0.09;0.13;97;-21.9;0;"Ariana Grande";13718652;27;23.0;0.8519;3.56;9;1;16;2;3
480;"Tema 480";124;"Luis García - Nuevo";"2020";232;"latin";"bachata";0.81;0.92;0.88;0.24;0.06;119;-1.7;1;"Luis García";359776;29;17.0;0.5862;4.5;6;1;5;1;3
481;"Tema 481";95;"Francisco Torres - Cuarto";"2020";225;"reggaeton";"perreo";0.92;0.98;0.48;0.12;0.28;159;-9.6;0;"Francisco Torres";4431669;25;19.0;0.76;3.4;5;1;19;3;1
482;"Tema 482";117;"Miguel Johnson - Debut";"2020";285;"indie";"indie-rock";0.5;0.21;0.59;0.33;0.18;193;-1.3;0;"Miguel Johnson";4893906;34;24.0;0.7059;4.0;3;1;11;1;4
483;"Tema 483";71;"Diplo - Evolución";"2022";398;"indie";"post-punk";0.5;0.62;0.39;0.54;0.39;104;-26.9;0;"Diplo";12335870;20;11.0;0.55;3.78;9;1;18;2;6
484;"Tema 484";97;"Sofia Smith - Nuevo";"2024";159;"reggaeton";"perreo";0.7;0.89;0.44;0.15;0.37;156;-17.0;0;"Sofia Smith";2229036;23;12.0;0.5217;3.83;6;1;15;2;6
485;"Tema 485";58;"Queen - Cambio de Dirección";"2023";300;"r&b";"r&b-contemporaneo";0.49;0.63;0.69;0.1;0.24;184;-11.6;0;"Queen";2245077;23;16.0;0.6957;4.5;4;1;9;1;7
486;"Tema 486";155;"Luis Green - Debut";"2024";191;"electronica";"electro-house";0.86;0.68;0.66;0.01;0.08;102;-3.7;1;"Luis Green";12742110;24;17.0;0.7083;3.83;12;1;6;3;4
487;"Tema 487";132;"Juan García - Regreso";"2022";228;"r&b";"neo-soul";0.66;0.5;0.5;0.19;0.11;107;-22.6;1;"Juan García";763502;23;15.0;0.6522;4.29;7;1;31;1;4
488;"Tema 488";155;"Luis Green - Evolución";"2020";237;"electronica";"electro-house";0.63;0.76;0.67;0.09;0.27;144;-27.6;0;"Luis Green";12742110;25;20.0;0.8;3.33;6;1;1;3;1
489;"Tema 489";124;"Luis García - Regreso";"2023";365;"latin";"salsa";0.93;0.91;0.84;0.53;0.37;101;-13.7;0;"Luis García";359776;17;12.0;0.7059;3.67;12;1;41;1;3
490;"Tema 490";106;"Carlos González - Debut";"2021";142;"rock";"rock-alternativo";0.68;0.49;0.6;0.4;0.21;101;-27.9;1;"Carlos González";870216;15;14.0;0.9333;4.67;6;1;9;3;6
491;"Tema 491";132;"Juan García - Debut";"2024";195;"r&b";"r&b-soul";0.53;0.78;0.63;0.32;0.11;102;-18.9;0;"Juan García";763502;24;21.0;0.875;4.8;5;1;12;2;3
492;"Tema 492";47;"Post Malone - Cambio de Dirección";"2023";129;"rap";"trap";0.97;0.83;0.61;0.09;0.25;81;-22.5;1;"Post Malone";3488372;20;14.0;0.7;3.8;10;0;0;0;4
493;"Tema 493";156;"Emma Martínez - Vueltas";"2023";207;"electronica";"techno";0.88;0.75;0.52;0.1;0.37;165;-28.1;0;"Emma Martínez";841434;21;10.0;0.4762;4.2;5;1;16;2;5
494;"Tema 494";150;"David Fernández - Reflexión";"2021";381;"indie";"indie-folk";0.71;0.35;0.52;0.21;0.12;102;-14.9;0;"David Fernández";989877;24;15.0;0.625;3.25;4;1;2;2;4
495;"Tema 495";88;"Carlos González - Vueltas";"2024";155;"rap";"hip-hop";0.72;0.77;0.67;0.02;0.31;156;-17.7;0;"Carlos González";3054668;23;20.0;0.8696;3.7;10;1;17;1;2
496;"Tema 496";28;"La Casa Azul - Debut";"2021";387;"r&b";"smooth-jazz";0.63;0.58;0.46;0.16;0.03;98;-24.4;0;"La Casa Azul";3710145;32;18.0;0.5625;3.45;11;1;46;3;5
497;"Tema 497";46;"Doja Cat - Vueltas";"2024";139;"rap";"mumble-rap";0.9;0.91;0.63;0.14;0.04;188;-21.3;0;"Doja Cat";9190046;30;25.0;0.8333;4.0;8;1;26;2;4
498;"Tema 498";24;"Paco de Lucía - Vueltas";"2021";396;"flamenco";"flamenco-puro";0.62;0.5;0.61;0.81;0.14;170;-19.4;0;"Paco de Lucía";2381386;22;13.0;0.5909;4.67;3;1;8;4;3
499;"Tema 499";95;"Francisco Torres - Debut";"2024";339;"reggaeton";"reggaeton-trap";0.95;0.96;0.52;0.18;0.38;183;-20.2;0;"Francisco Torres";4431669;11;11.0;1.0;4.5;6;1;3;5;4
500;"Tema 500";98;"Diego Rodríguez - Nuevo";"2024";170;"rap";"rap-consciente";0.81;0.78;0.68;0.18;0.04;94;-18.2;0;"Diego Rodríguez";1683442;25;21.0;0.84;4.13;8;1;12;4;3
501;"Tema 501";197;"Emma López - Cuarto";"2020";265;"latin";"regional-mexicano";0.79;0.83;0.66;0.54;0.27;199;-4.9;0;"Emma López";3893396;20;15.0;0.75;4.5;6;1;37;2;6
502;"Tema 502";49;"Shawn Mendes - Debut";"2020";387;"indie";"indie-rock";0.73;0.57;0.52;0.51;0.06;193;-9.8;1;"Shawn Mendes";6829790;27;21.0;0.7778;4.4;5;1;19;2;2
503;"Tema 503";168;"Gabriel Pérez - Cuarto";"2022";329;"r&b";"r&b-contemporaneo";0.46;0.71;0.49;0.15;0.07;87;-29.9;1;"Gabriel Pérez";629296;34;24.0;0.7059;3.5;8;1;34;1;1
504;"Tema 504";167;"Ana Smith - 25 Aniversario";"2022";253;"latin";"regional-mexicano";0.85;0.88;0.75;0.26;0.03;168;-29.4;0;"Ana Smith";1170430;30;25.0;0.8333;3.0;4;1;5;2;1
505;"Tema 505";157;"Alex Pérez - Quinto";"2023";224;"r&b";"smooth-jazz";0.46;0.77;0.5;0.24;0.04;183;-23.3;1;"Alex Pérez";3355465;17;11.0;0.6471;3.6;5;1;12;3;2
506;"Tema 506";144;"María Rodríguez - Cambio de Dirección";"2023";249;"indie";"indie-folk";0.56;0.5;0.42;0.23;0.16;148;-23.0;0;"María Rodríguez";1083791;26;23.0;0.8846;4.0;6;1;6;2;1
507;"Tema 507";102;"David Torres - Evolución";"2021";180;"rock";"rock-alternativo";0.69;0.59;0.55;0.32;0.17;174;-17.1;0;"David Torres";3045188;26;17.0;0.6538;3.7;10;0;0;0;4
508;"Tema 508";42;"Beyoncé - Segundo Album";"2021";380;"latin";"bachata";0.79;0.87;0.81;0.27;0.2;146;-17.6;0;"Beyoncé";5968377;25;18.0;0.72;3.91;11;1;29;2;4
509;"Tema 509";158;"Juan Pérez - Evolución";"2020";202;"rap";"rap-consciente";0.96;0.82;0.51;0.02;0.24;61;-26.5;0;"Juan Pérez";4311662;27;14.0;0.5185;3.71;7;1;16;1;7
510;"Tema 510";38;"Bad Bunny - Vueltas";"2024";342;"r&b";"r&b-soul";0.52;0.54;0.68;0.18;0.16;76;-3.1;0;"Bad Bunny";1322218;27;19.0;0.7037;4.0;6;1;5;1;5
511;"Tema 511";95;"Francisco Torres - Segundo Album";"2024";139;"reggaeton";"reggaeton-romantico";0.76;0.9;0.57;0.0;0.32;162;-27.9;0;"Francisco Torres";4431669;22;15.0;0.6818;3.5;8;1;7;3;3
512;"Tema 512";134;"Emma Fernández - Quinto";"2024";149;"pop";"pop-urbano";0.59;0.7;0.75;0.31;0.1;186;-29.7;0;"Emma Fernández";1245725;34;25.0;0.7353;2.5;4;1;12;3;4
513;"Tema 513";52;"Coldplay - Regreso";"2024";266;"flamenco";"flamenco-fusión";0.79;0.61;0.73;0.93;0.34;68;-15.4;0;"Coldplay";12437963;24;14.0;0.5833;4.25;8;1;19;2;3
514;"Tema 514";131;"Emma Rodríguez - Cambio de Dirección";"2021";206;"r&b";"r&b-soul";0.52;0.74;0.58;0.17;0.34;152;-3.5;1;"Emma Rodríguez";1630819;26;18.0;0.6923;3.9;10;1;2;1;2
515;"Tema 515";1;"La Casa Azul - Tercero";"2020";261;"rock";"hard-rock";0.79;0.32;0.46;0.42;0.36;150;-23.9;0;"La Casa Azul";2446340;24;13.0;0.5417;3.67;9;1;14;2;2
516;"Tema 516";104;"Emma Smith - 25 Aniversario";"2021";385;"latin";"cumbia";0.62;0.92;0.72;0.42;0.39;77;-28.0;0;"Emma Smith";2141311;25;18.0;0.72;3.71;7;1;12;2;7
517;"Tema 517";141;"Carlos Smith - Quinto";"2024";298;"rap";"trap";0.89;0.63;0.45;0.16;0.17;130;-0.1;1;"Carlos Smith";9856029;21;12.0;0.5714;4.0;8;1;3;4;2
518;"Tema 518";50;"Justin Timberlake - Vueltas";"2023";122;"latin";"merengue";0.8;0.78;0.67;0.34;0.15;104;-27.9;0;"Justin Timberlake";2135108;29;23.0;0.7931;3.5;4;1;2;5;0
519;"Tema 519";28;"La Casa Azul - Cambio de Dirección";"2020";377;"r&b";"r&b-contemporaneo";0.53;0.64;0.69;0.36;0.28;147;-29.7;0;"La Casa Azul";3710145;24;16.0;0.6667;3.71;7;0;0;0;5
520;"Tema 520";132;"Juan García - Quinto";"2024";248;"r&b";"smooth-jazz";0.48;0.7;0.59;0.1;0.32;156;-6.8;0;"Juan García";763502;21;16.0;0.7619;3.83;6;0;0;0;6
521;"Tema 521";198;"Sofia Pérez - Cuarto";"2022";354;"reggaeton";"reggaeton-romantico";0.86;0.81;0.71;0.12;0.31;67;-7.4;0;"Sofia Pérez";6832292;20;13.0;0.65;3.71;7;1;1;2;7
522;"Tema 522";67;"Stromae - Segundo Album";"2023";232;"reggaeton";"reggaeton-trap";0.94;0.9;0.46;0.13;0.25;140;-7.7;0;"Stromae";1715185;31;23.0;0.7419;3.22;9;1;11;1;5
523;"Tema 523";91;"Francisco Green - Cambio de Dirección";"2024";124;"clasica";"opera";0.18;0.06;0.65;0.92;0.36;123;-7.2;0;"Francisco Green";392117;23;14.0;0.6087;4.13;8;1;6;2;2
524;"Tema 524";103;"Francisco Stone - Regreso";"2022";158;"latin";"regional-mexicano";0.81;0.86;0.87;0.43;0.25;105;-25.3;0;"Francisco Stone";1142190;33;17.0;0.5152;3.67;3;1;1;4;4
525;"Tema 525";91;"Francisco Green - Cuarto";"2024";257;"clasica";"camara";0.34;0.21;0.34;0.76;0.13;108;-22.8;0;"Francisco Green";392117;33;27.0;0.8182;3.64;11;1;3;3;4
526;"Tema 526";52;"Coldplay - Cuarto";"2021";255;"flamenco";"flamenco-fusión";0.59;0.57;0.76;0.8;0.08;118;-27.7;1;"Coldplay";12437963;22;12.0;0.5455;4.0;12;1;2;6;4
527;"Tema 527";64;"Kanye West - 25 Aniversario";"2022";199;"rap";"trap-latino";0.91;0.73;0.63;0.13;0.32;90;-21.8;0;"Kanye West";4029815;30;20.0;0.6667;3.83;6;1;23;1;2
528;"Tema 528";174;"Laura González - Regreso";"2023";123;"rock";"grunge";0.88;0.38;0.68;0.35;0.13;70;-21.9;0;"Laura González";780472;19;13.0;0.6842;3.75;12;0;0;0;1
529;"Tema 529";96;"Gabriel Fernández - 25 Aniversario";"2022";372;"clasica";"opera";0.2;0.21;0.31;0.88;0.11;185;-10.1;1;"Gabriel Fernández";2052444;31;23.0;0.7419;4.29;7;1;20;1;5
530;"Tema 530";196;"Luis González - Cambio de Dirección";"2022";323;"flamenco";"flamenco-fusión";0.83;0.71;0.7;0.68;0.04;92;-9.0;1;"Luis González";1298702;31;22.0;0.7097;4.2;10;1;2;4;6
531;"Tema 531";109;"Diego Ramírez - Vueltas";"2024";136;"flamenco";"flamenco-pop";0.65;0.57;0.41;0.7;0.01;160;-3.6;0;"Diego Ramírez";789415;25;20.0;0.8;4.0;4;1;2;1;4
532;"Tema 532";199;"Ana Ramírez - Tercero";"2023";181;"flamenco";"rumba";0.6;0.62;0.42;0.87;0.13;140;-3.1;0;"Ana Ramírez";6553397;29;23.0;0.7931;3.5;10;1;14;2;2
533;"Tema 533";4;"Los Secretos - Regreso";"2021";314;"pop";"synth-pop";0.76;0.61;0.86;0.4;0.33;85;-4.7;0;"Los Secretos";4664712;29;19.0;0.6552;3.33;9;1;14;4;5
534;"Tema 534";157;"Alex Pérez - Quinto";"2021";400;"r&b";"r&b-contemporaneo";0.49;0.67;0.43;0.14;0.4;120;-20.2;0;"Alex Pérez";3355465;23;17.0;0.7391;4.2;5;1;24;2;3
535;"Tema 535";157;"Alex Pérez - Nuevo";"2022";214;"r&b";"smooth-jazz";0.66;0.74;0.74;0.5;0.1;168;-28.8;1;"Alex Pérez";3355465;27;21.0;0.7778;4.0;7;1;25;2;9
536;"Tema 536";180;"José García - Reflexión";"2022";306;"electronica";"electro-house";0.76;0.65;0.31;0.05;0.31;131;-13.0;0;"José García";453833;24;17.0;0.7083;3.33;6;0;0;0;7
537;"Tema 537";147;"Laura Fernández - Tercero";"2024";237;"reggaeton";"reggaeton-puro";0.79;0.93;0.49;0.0;0.31;129;-11.3;0;"Laura Fernández";2831476;21;14.0;0.6667;3.75;8;1;6;2;5
