cancion_id,titulo,artista_id,album,anio_lanzamiento,duracion_seg,genero,subgenero,energia,bailabilidad,valencia,acusticidad,instrumentalidad,tempo,volumen_db,explicito
468,Tema 468,168,Gabriel Pérez - Cuarto,2020,265,r&b,r&b-soul,0.49,0.69,0.63,0.43,0.36,109,-29.6,0
469,Tema 469,116,David López - Nuevo,2024,276,rap,mumble-rap,0.9,0.62,0.52,0.06,0.12,99,-19.4,0
470,Tema 470,94,José Rodríguez - Reflexión,2022,339,flamenco,flamenco-fusión,0.75,0.53,0.69,0.76,0.03,61,-6.5,0
471,Tema 471,57,David Bowie - Evolución,2023,261,latin,merengue,0.7,0.81,0.81,0.33,0.02,94,-18.8,0
472,Tema 472,85,José Johnson - Vueltas,2023,348,reggaeton,perreo,0.98,0.93,0.67,0.13,0.08,138,-17.4,0
473,Tema 473,28,La Casa Azul - Tercero,2024,161,r&b,r&b-contemporaneo,0.66,0.53,0.51,0.21,0.17,95,-0.6,0
474,Tema 474,51,Bruno Mars - Quinto,2020,158,clasica,orquesta,0.13,0.16,0.29,0.99,0.05,189,-17.9,0
475,Tema 475,149,David Stone - 25 Aniversario,2023,228,flamenco,flamenco-puro,0.8,0.68,0.57,0.74,0.16,126,-22.1,0
476,Tema 476,139,Ana García - Vueltas,2021,307,pop,pop-rock,0.48,0.67,0.61,0.19,0.26,117,-0.9,0
477,Tema 477,151,María García - Evolución,2022,188,latin,bachata,0.81,0.72,0.62,0.58,0.12,188,-27.2,0
478,Tema 478,102,David Torres - Nuevo,2024,125,rock,rock-alternativo,0.84,0.49,0.56,0.21,0.01,102,-1.0,0
479,Tema 479,36,Ariana Grande - Vueltas,2021,211,electronica,trance,0.7,0.84,0.65,0.09,0.13,97,-21.9,0
480,Tema 480,124,Luis García - Nuevo,2020,232,latin,bachata,0.81,0.92,0.88,0.24,0.06,119,-1.7,1
481,Tema 481,95,Francisco Torres - Cuarto,2020,225,reggaeton,perreo,0.92,0.98,0.48,0.12,0.28,159,-9.6,0
482,Tema 482,117,Miguel Johnson - Debut,2020,285,indie,indie-rock,0.5,0.21,0.59,0.33,0.18,193,-1.3,0
483,Tema 483,71,Diplo - Evolución,2022,398,indie,post-punk,0.5,0.62,0.39,0.54,0.39,104,-26.9,0
484,Tema 484,97,Sofia Smith - Nuevo,2024,159,reggaeton,perreo,0.7,0.89,0.44,0.15,0.37,156,-17.0,0
485,Tema 485,58,Queen - Cambio de Dirección,2023,300,r&b,r&b-contemporaneo,0.49,0.63,0.69,0.1,0.24,184,-11.6,0
486,Tema 486,155,Luis Green - Debut,2024,191,electronica,electro-house,0.86,0.68,0.66,0.01,0.08,102,-3.7,1
487,Tema 487,132,Juan García - Regreso,2022,228,r&b,neo-soul,0.66,0.5,0.5,0.19,0.11,107,-22.6,1
488,Tema 488,155,Luis Green - Evolución,2020,237,electronica,electro-house,0.63,0.76,0.67,0.09,0.27,144,-27.6,0
489,Tema 489,124,Luis García - Regreso,2023,365,latin,salsa,0.93,0.91,0.84,0.53,0.37,101,-13.7,0
490,Tema 490,106,Carlos González - Debut,2021,142,rock,rock-alternativo,0.68,0.49,0.6,0.4,0.21,101,-27.9,1
491,Tema 491,132,Juan García - Debut,2024,195,r&b,r&b-soul,0.53,0.78,0.63,0.32,0.11,102,-18.9,0
492,Tema 492,47,Post Malone - Cambio de Dirección,2023,129,rap,trap,0.97,0.83,0.61,0.09,0.25,81,-22.5,1
493,Tema 493,156,Emma Martínez - Vueltas,2023,207,electronica,techno,0.88,0.75,0.52,0.1,0.37,165,-28.1,0
494,Tema 494,150,David Fernández - Reflexión,2021,381,indie,indie-folk,0.71,0.35,0.52,0.21,0.12,102,-14.9,0
495,Tema 495,88,Carlos González - Vueltas,2024,155,rap,hip-hop,0.72,0.77,0.67,0.02,0.31,156,-17.7,0
496,Tema 496,28,La Casa Azul - Debut,2021,387,r&b,smooth-jazz,0.63,0.58,0.46,0.16,0.03,98,-24.4,0
497,Tema 497,46,Doja Cat - Vueltas,2024,139,rap,mumble-rap,0.9,0.91,0.63,0.14,0.04,188,-21.3,0
498,Tema 498,24,Paco de Lucía - Vueltas,2021,396,flamenco,flamenco-puro,0.62,0.5,0.61,0.81,0.14,170,-19.4,0
499,Tema 499,95,Francisco Torres - Debut,2024,339,reggaeton,reggaeton-trap,0.95,0.96,0.52,0.18,0.38,183,-20.2,0
500,Tema 500,98,Diego Rodríguez - Nuevo,2024,170,rap,rap-consciente,0.81,0.78,0.68,0.18,0.04,94,-18.2,0
501,Tema 501,197,Emma López - Cuarto,2020,265,latin,regional-mexicano,0.79,0.83,0.66,0.54,0.27,199,-4.9,0
502,Tema 502,49,Shawn Mendes - Debut,2020,387,indie,indie-rock,0.73,0.57,0.52,0.51,0.06,193,-9.8,1
503,Tema 503,168,Gabriel Pérez - Cuarto,2022,329,r&b,r&b-contemporaneo,0.46,0.71,0.49,0.15,0.07,87,-29.9,1
504,Tema 504,167,Ana Smith - 25 Aniversario,2022,253,latin,regional-mexicano,0.85,0.88,0.75,0.26,0.03,168,-29.4,0
505,Tema 505,157,Alex Pérez - Quinto,2023,224,r&b,smooth-jazz,0.46,0.77,0.5,0.24,0.04,183,-23.3,1
506,Tema 506,144,María Rodríguez - Cambio de Dirección,2023,249,indie,indie-folk,0.56,0.5,0.42,0.23,0.16,148,-23.0,0
507,Tema 507,102,David Torres - Evolución,2021,180,rock,rock-alternativo,0.69,0.59,0.55,0.32,0.17,174,-17.1,0
508,Tema 508,42,Beyoncé - Segundo Album,2021,380,latin,bachata,0.79,0.87,0.81,0.27,0.2,146,-17.6,0
509,Tema 509,158,Juan Pérez - Evolución,2020,202,rap,rap-consciente,0.96,0.82,0.51,0.02,0.24,61,-26.5,0
510,Tema 510,38,Bad Bunny - Vueltas,2024,342,r&b,r&b-soul,0.52,0.54,0.68,0.18,0.16,76,-3.1,0
511,Tema 511,95,Francisco Torres - Segundo Album,2024,139,reggaeton,reggaeton-romantico,0.76,0.9,0.57,0.0,0.32,162,-27.9,0
512,Tema 512,134,Emma Fernández - Quinto,2024,149,pop,pop-urbano,0.59,0.7,0.75,0.31,0.1,186,-29.7,0
513,Tema 513,52,Coldplay - Regreso,2024,266,flamenco,flamenco-fusión,0.79,0.61,0.73,0.93,0.34,68,-15.4,0
514,Tema 514,131,Emma Rodríguez - Cambio de Dirección,2021,206,r&b,r&b-soul,0.52,0.74,0.58,0.17,0.34,152,-3.5,1
515,Tema 515,1,La Casa Azul - Tercero,2020,261,rock,hard-rock,0.79,0.32,0.46,0.42,0.36,150,-23.9,0
516,Tema 516,104,Emma Smith - 25 Aniversario,2021,385,latin,cumbia,0.62,0.92,0.72,0.42,0.39,77,-28.0,0
517,Tema 517,141,Carlos Smith - Quinto,2024,298,rap,trap,0.89,0.63,0.45,0.16,0.17,130,-0.1,1
518,Tema 518,50,Justin Timberlake - Vueltas,2023,122,latin,merengue,0.8,0.78,0.67,0.34,0.15,104,-27.9,0
519,Tema 519,28,La Casa Azul - Cambio de Dirección,2020,377,r&b,r&b-contemporaneo,0.53,0.64,0.69,0.36,0.28,147,-29.7,0
520,Tema 520,132,Juan García - Quinto,2024,248,r&b,smooth-jazz,0.48,0.7,0.59,0.1,0.32,156,-6.8,0
521,Tema 521,198,Sofia Pérez - Cuarto,2022,354,reggaeton,reggaeton-romantico,0.86,0.81,0.71,0.12,0.31,67,-7.4,0
522,Tema 522,67,Stromae - Segundo Album,2023,232,reggaeton,reggaeton-trap,0.94,0.9,0.46,0.13,0.25,140,-7.7,0
523,Tema 523,91,Francisco Green - Cambio de Dirección,2024,124,clasica,opera,0.18,0.06,0.65,0.92,0.36,123,-7.2,0
524,Tema 524,103,Francisco Stone - Regreso,2022,158,latin,regional-mexicano,0.81,0.86,0.87,0.43,0.25,105,-25.3,0
525,Tema 525,91,Francisco Green - Cuarto,2024,257,clasica,camara,0.34,0.21,0.34,0.76,0.13,108,-22.8,0
526,Tema 526,52,Coldplay - Cuarto,2021,255,flamenco,flamenco-fusión,0.59,0.57,0.76,0.8,0.08,118,-27.7,1
527,Tema 527,64,Kanye West - 25 Aniversario,2022,199,rap,trap-latino,0.91,0.73,0.63,0.13,0.32,90,-21.8,0
528,Tema 528,174,Laura González - Regreso,2023,123,rock,grunge,0.88,0.38,0.68,0.35,0.13,70,-21.9,0
529,Tema 529,96,Gabriel Fernández - 25 Aniversario,2022,372,clasica,opera,0.2,0.21,0.31,0.88,0.11,185,-10.1,1
530,Tema 530,196,Luis González - Cambio de Dirección,2022,323,flamenco,flamenco-fusión,0.83,0.71,0.7,0.68,0.04,92,-9.0,1
531,Tema 531,109,Diego Ramírez - Vueltas,2024,136,flamenco,flamenco-pop,0.65,0.57,0.41,0.7,0.01,160,-3.6,0
532,Tema 532,199,Ana Ramírez - Tercero,2023,181,flamenco,rumba,0.6,0.62,0.42,0.87,0.13,140,-3.1,0
533,Tema 533,4,Los Secretos - Regreso,2021,314,pop,synth-pop,0.76,0.61,0.86,0.4,0.33,85,-4.7,0
534,Tema 534,157,Alex Pérez - Quinto,2021,400,r&b,r&b-contemporaneo,0.49,0.67,0.43,0.14,0.4,120,-20.2,0
535,Tema 535,157,Alex Pérez - Nuevo,2022,214,r&b,smooth-jazz,0.66,0.74,0.74,0.5,0.1,168,-28.8,1
536,Tema 536,180,José García - Reflexión,2022,306,electronica,electro-house,0.76,0.65,0.31,0.05,0.31,131,-13.0,0
537,Tema 537,147,Laura Fernández - Tercero,2024,237,reggaeton,reggaeton-puro,0.79,0.93,0.49,0.0,0.31,129,-11.3,0
538,Tema 538,143,Sofia Torres - Reincidencia,2023,220,electronica,techno,0.9,0.61,0.72,0.09,0.23,98,-11.3,0
539,Tema 539,3,El Guincho - Tercero,2023,375,r&b,neo-soul,0.7,0.68,0.63,0.5,0.3,192,-16.7,0
540,Tema 540,81,Gabriel Torres - Reflexión,2023,273,electronica,deep-house,0.88,0.74,0.41,0.09,0.37,72,-2.1,0
541,Tema 541,177,Luis López - Tercero,2020,230,flamenco,flamenco-pop,0.64,0.61,0.48,1.0,0.39,181,-10.5,0
542,Tema 542,25,Morat - Vueltas,2022,253,rap,trap,0.94,0.85,0.54,0.01,0.18,152,-9.8,0
543,Tema 543,66,J. Cole - Nuevo,2020,330,r&b,r&b-soul,0.64,0.61,0.78,0.17,0.2,149,-9.3,0
544,Tema 544,156,Emma Martínez - Cuarto,2024,395,electronica,techno,0.88,0.83,0.44,0.02,0.25,132,-12.0,0
545,Tema 545,173,Ana Brown - Cambio de Dirección,2023,348,reggaeton,reggaeton-puro,0.75,0.94,0.58,0.13,0.33,157,-24.9,0
546,Tema 546,119,María Johnson - Regreso,2021,205,clasica,opera,0.11,0.23,0.5,0.91,0.34,167,-5.9,0
547,Tema 547,147,Laura Fernández - Reincidencia,2020,160,reggaeton,reggaeton-trap,0.99,0.91,0.6,0.08,0.06,147,-12.8,1
548,Tema 548,82,Miguel Torres - Regreso,2022,256,reggaeton,reggaeton-romantico,0.78,0.98,0.63,0.12,0.14,129,-28.4,0
549,Tema 549,200,Emma López - Nuevo,2024,386,reggaeton,reggaeton-romantico,0.71,0.88,0.43,0.12,0.35,165,-3.5,1
550,Tema 550,6,Måneskin - Tercero,2021,248,r&b,r&b-soul,0.63,0.56,0.75,0.45,0.08,113,-7.9,1
551,Tema 551,27,Sfdk - Segundo Album,2020,362,indie,post-punk,0.44,0.6,0.8,0.22,0.36,73,-11.3,1
552,Tema 552,102,David Torres - Cambio de Dirección,2020,173,rock,rock-progresivo,0.99,0.44,0.64,0.12,0.13,99,-28.0,1
553,Tema 553,100,David Johnson - Quinto,2021,246,flamenco,flamenco-pop,0.89,0.73,0.74,0.98,0.03,173,-18.4,0
554,Tema 554,34,Drake - Cambio de Dirección,2021,134,reggaeton,reggaeton-puro,0.72,0.84,0.49,0.09,0.11,151,-27.0,0
555,Tema 555,84,Alex Green - Vueltas,2023,396,flamenco,flamenco-pop,0.57,0.46,0.79,0.9,0.39,200,-16.8,0
556,Tema 556,179,Luis Green - Cambio de Dirección,2021,353,clasica,musica-clasica-instrumental,0.24,0.24,0.36,0.79,0.09,194,-26.1,0
557,Tema 557,137,Ana Ramírez - Quinto,2022,366,electronica,trance,0.7,0.72,0.64,0.01,0.08,118,-5.7,0
558,Tema 558,114,Juan Johnson - Quinto,2022,331,electronica,deep-house,0.66,0.72,0.73,0.02,0.03,99,-15.5,0
559,Tema 559,1,La Casa Azul - Cambio de Dirección,2021,296,rock,rock-progresivo,0.72,0.47,0.62,0.15,0.23,180,-14.8,0
560,Tema 560,177,Luis López - Vueltas,2023,273,flamenco,flamenco-puro,0.56,0.65,0.51,0.8,0.03,170,-16.2,0
561,Tema 561,153,Sofia Johnson - Cuarto,2020,400,reggaeton,perreo,0.79,0.96,0.42,0.08,0.18,108,-8.2,0
562,Tema 562,144,María Rodríguez - Reincidencia,2023,247,indie,indie-pop,0.59,0.53,0.69,0.63,0.13,159,-13.9,0
563,Tema 563,57,David Bowie - Quinto,2020,336,latin,salsa,0.89,0.95,0.87,0.35,0.08,192,-15.3,0
564,Tema 564,157,Alex Pérez - Reflexión,2022,265,r&b,r&b-contemporaneo,0.66,0.65,0.59,0.44,0.14,165,-4.2,1
565,Tema 565,18,Enrique Iglesias - Tercero,2021,268,electronica,house,0.76,0.71,0.53,0.11,0.05,176,-24.1,0
566,Tema 566,70,Tiësto - Evolución,2024,371,clasica,camara,0.58,0.05,0.48,0.87,0.2,142,-10.7,1
567,Tema 567,13,Rosalía - Cambio de Dirección,2020,215,clasica,orquesta,0.21,0.17,0.39,0.9,0.06,132,-12.9,0
568,Tema 568,184,Juan González - Vueltas,2020,239,indie,indie-rock,0.39,0.34,0.41,0.29,0.33,98,-21.4,1
569,Tema 569,56,The Strokes - Nuevo,2023,279,r&b,smooth-jazz,0.72,0.79,0.63,0.16,0.15,155,-6.1,0
570,Tema 570,9,Bunbury - Nuevo,2020,194,indie,indie-rock,0.48,0.24,0.58,0.62,0.32,128,-24.7,0
571,Tema 571,19,Alejandro Sanz - Cambio de Dirección,2023,212,r&b,neo-soul,0.64,0.57,0.49,0.45,0.1,124,-22.1,0
572,Tema 572,4,Los Secretos - Segundo Album,2021,317,pop,pop-rock,0.4,0.8,0.82,0.29,0.3,123,-25.4,0
573,Tema 573,9,Bunbury - Cuarto,2023,168,indie,post-punk,0.53,0.38,0.35,0.44,0.37,113,-28.8,0
574,Tema 574,175,Emma Martínez - Quinto,2022,201,r&b,r&b-soul,0.5,0.56,0.5,0.46,0.19,200,-16.0,0
575,Tema 575,65,Kendrick Lamar - Vueltas,2022,221,pop,pop-latino,0.7,0.55,0.69,0.23,0.24,73,-0.0,0
576,Tema 576,56,The Strokes - Segundo Album,2021,342,r&b,r&b-contemporaneo,0.67,0.62,0.73,0.17,0.01,63,-23.9,1
577,Tema 577,71,Diplo - 25 Aniversario,2020,322,indie,indie-pop,0.47,0.46,0.61,0.66,0.2,62,-15.0,0
578,Tema 578,149,David Stone - Reflexión,2023,199,flamenco,flamenco-pop,0.52,0.41,0.62,0.78,0.34,82,-25.2,1
579,Tema 579,128,Sofia Torres - Segundo Album,2024,293,clasica,orquesta,0.11,0.13,0.32,0.71,0.29,75,-26.7,0
580,Tema 580,40,The Weeknd - Evolución,2024,174,clasica,camara,0.4,0.08,0.29,0.81,0.32,184,-18.2,1
581,Tema 581,143,Sofia Torres - Reflexión,2022,344,electronica,techno,0.9,0.64,0.69,0.04,0.27,65,-13.0,0
582,Tema 582,92,David Johnson - Evolución,2021,248,pop,pop-activo,0.77,0.64,0.53,0.11,0.33,184,-14.3,0
583,Tema 583,144,María Rodríguez - Quinto,2024,370,indie,indie-pop,0.69,0.32,0.47,0.22,0.38,107,-10.0,0
584,Tema 584,83,David Rodríguez - Evolución,2023,260,pop,synth-pop,0.77,0.59,0.74,0.3,0.13,101,-4.6,1
585,Tema 585,40,The Weeknd - Vueltas,2022,254,clasica,opera,0.57,0.27,0.57,0.78,0.11,176,-1.1,1
586,Tema 586,164,Alex García - Cambio de Dirección,2023,214,rock,rock-duro,0.6,0.51,0.58,0.35,0.4,153,-20.6,0
587,Tema 587,62,Eminem - Nuevo,2020,395,latin,bachata,0.72,0.72,0.73,0.3,0.14,108,-5.0,0
588,Tema 588,128,Sofia Torres - Reflexión,2024,198,clasica,opera,0.57,0.06,0.39,0.98,0.02,142,-27.2,0
589,Tema 589,83,David Rodríguez - Segundo Album,2020,387,pop,pop-activo,0.47,0.71,0.56,0.39,0.18,71,-15.0,0
590,Tema 590,34,Drake - Tercero,2020,223,reggaeton,reggaeton-puro,0.77,0.89,0.66,0.15,0.3,184,-12.7,1
591,Tema 591,9,Bunbury - 25 Aniversario,2023,370,indie,post-punk,0.75,0.61,0.68,0.23,0.0,125,-23.6,1
592,Tema 592,57,David Bowie - 25 Aniversario,2020,126,latin,salsa,0.83,0.8,0.72,0.55,0.36,185,-2.7,0
593,Tema 593,21,Serrat - Vueltas,2020,304,pop,synth-pop,0.53,0.74,0.61,0.16,0.07,166,-19.7,0
594,Tema 594,182,Alex González - Debut,2024,256,flamenco,flamenco-puro,0.67,0.73,0.45,0.89,0.21,78,-21.4,0
595,Tema 595,20,Ricky Martin - Cuarto,2024,169,electronica,house,0.8,0.7,0.6,0.07,0.07,119,-26.5,0
596,Tema 596,49,Shawn Mendes - Cuarto,2024,247,indie,post-punk,0.57,0.65,0.47,0.57,0.26,105,-2.1,0
597,Tema 597,143,Sofia Torres - Reincidencia,2020,303,electronica,electro-house,0.93,0.8,0.63,0.13,0.16,169,-20.2,0
598,Tema 598,43,Harry Styles - Reflexión,2021,325,clasica,opera,0.11,0.25,0.6,0.73,0.23,100,-16.1,0
599,Tema 599,154,Francisco Rodríguez - Vueltas,2022,281,rap,mumble-rap,0.74,0.94,0.39,0.01,0.24,143,-7.8,0
600,Tema 600,106,Carlos González - Reflexión,2023,285,rock,grunge,0.61,0.5,0.51,0.14,0.07,121,-13.0,0
601,Tema 601,55,Arctic Monkeys - Reincidencia,2024,250,indie,indie-folk,0.45,0.67,0.71,0.69,0.1,175,-0.9,0
602,Tema 602,102,David Torres - Debut,2020,265,rock,grunge,0.77,0.4,0.32,0.12,0.28,64,-16.3,0
603,Tema 603,78,María Johnson - Debut,2022,233,electronica,techno,0.69,0.81,0.43,0.09,0.14,140,-5.3,1
604,Tema 604,177,Luis López - Quinto,2024,381,flamenco,flamenco-fusión,0.83,0.59,0.54,0.75,0.32,84,-20.2,1
605,Tema 605,92,David Johnson - Tercero,2021,255,pop,pop-latino,0.48,0.53,0.69,0.24,0.34,123,-23.4,1
606,Tema 606,77,Emma Torres - Segundo Album,2024,324,r&b,neo-soul,0.53,0.74,0.73,0.25,0.18,79,-20.9,0
607,Tema 607,124,Luis García - Tercero,2023,168,latin,regional-mexicano,0.93,0.73,0.88,0.47,0.21,136,-29.0,1
608,Tema 608,148,María Pérez - Reincidencia,2020,148,r&b,r&b-contemporaneo,0.57,0.62,0.46,0.36,0.39,149,-13.1,0
609,Tema 609,112,Gabriel Martínez - Reincidencia,2020,236,flamenco,flamenco-puro,0.79,0.43,0.57,0.65,0.25,157,-1.8,1
610,Tema 610,135,José Martínez - Debut,2022,396,clasica,camara,0.43,0.02,0.38,0.87,0.16,143,-5.0,0
611,Tema 611,57,David Bowie - Tercero,2020,321,latin,bachata,0.89,0.85,0.71,0.3,0.04,189,-19.4,1
612,Tema 612,111,Juan Green - Quinto,2023,195,reggaeton,reggaeton-trap,0.82,0.94,0.66,0.01,0.16,146,-24.5,1
613,Tema 613,147,Laura Fernández - Evolución,2020,400,reggaeton,reggaeton-romantico,0.75,0.97,0.42,0.08,0.07,127,-3.6,1
614,Tema 614,129,Ana Sánchez - Reincidencia,2021,189,indie,dream-pop,0.58,0.32,0.55,0.57,0.38,110,-23.4,0
615,Tema 615,167,Ana Smith - 25 Aniversario,2021,388,latin,salsa,0.91,0.93,0.87,0.45,0.25,122,-17.9,1
616,Tema 616,199,Ana Ramírez - Reincidencia,2022,165,flamenco,flamenco-puro,0.8,0.61,0.67,0.77,0.29,165,-5.3,0
617,Tema 617,90,Juan López - Cuarto,2022,296,reggaeton,reggaeton-puro,0.74,0.97,0.62,0.17,0.17,138,-18.6,1
618,Tema 618,90,Juan López - 25 Aniversario,2023,194,reggaeton,reggaeton-romantico,0.97,0.85,0.74,0.1,0.21,71,-20.7,0
619,Tema 619,60,Pink Floyd - Cuarto,2022,199,latin,cumbia,0.8,0.78,0.61,0.31,0.0,88,-0.6,0
620,Tema 620,63,Jay-Z - 25 Aniversario,2021,267,r&b,r&b-soul,0.74,0.62,0.69,0.24,0.27,147,-5.8,0
621,Tema 621,29,Elefantes - Quinto,2023,361,rock,rock-duro,0.98,0.42,0.61,0.21,0.4,144,-29.2,1
622,Tema 622,138,David López - Cuarto,2021,399,rap,mumble-rap,0.88,0.83,0.58,0.02,0.38,126,-24.6,0
623,Tema 623,160,María Torres - Evolución,2021,129,rock,hard-rock,0.85,0.37,0.42,0.32,0.17,194,-25.2,1
624,Tema 624,44,Justin Bieber - Debut,2022,222,rap,mumble-rap,0.75,0.75,0.6,0.18,0.03,129,-18.2,1
625,Tema 625,168,Gabriel Pérez - Debut,2020,318,r&b,r&b-contemporaneo,0.44,0.5,0.66,0.34,0.07,152,-23.0,0
626,Tema 626,5,Duncan Dhu - Quinto,2023,238,clasica,musica-clasica-instrumental,0.11,0.25,0.69,0.74,0.09,190,-3.9,0
627,Tema 627,26,Taburete - Nuevo,2023,392,clasica,orquesta,0.56,0.13,0.23,0.71,0.23,107,-18.2,1
628,Tema 628,118,Miguel Smith - Cambio de Dirección,2020,140,rock,rock-alternativo,0.61,0.47,0.3,0.41,0.12,195,-28.8,0
629,Tema 629,126,Francisco Fernández - Reincidencia,2021,129,rock,rock-progresivo,0.84,0.42,0.69,0.32,0.11,150,-8.7,0
630,Tema 630,78,María Johnson - Cuarto,2024,261,electronica,house,0.71,0.92,0.49,0.08,0.02,125,-17.2,0
631,Tema 631,8,Leiva - Cambio de Dirección,2022,235,flamenco,flamenco-fusión,0.83,0.72,0.49,0.69,0.33,147,-2.1,0
632,Tema 632,169,Francisco Stone - Tercero,2020,315,latin,regional-mexicano,0.63,0.81,0.7,0.55,0.03,118,-23.7,0
633,Tema 633,147,Laura Fernández - Tercero,2023,279,reggaeton,perreo,0.93,0.81,0.6,0.09,0.13,174,-18.2,0
634,Tema 634,53,Radiohead - Regreso,2021,397,indie,indie-pop,0.56,0.28,0.59,0.6,0.3,95,-25.4,0
635,Tema 635,181,Francisco Fernández - Cambio de Dirección,2021,340,rap,hip-hop,0.74,0.69,0.44,0.08,0.27,100,-28.3,0
636,Tema 636,143,Sofia Torres - Cambio de Dirección,2020,214,electronica,deep-house,0.61,0.74,0.65,0.03,0.26,97,-22.2,0
637,Tema 637,196,Luis González - Nuevo,2023,330,flamenco,flamenco-pop,0.85,0.76,0.52,0.69,0.16,173,-22.8,0
638,Tema 638,164,Alex García - Evolución,2022,197,rock,rock-alternativo,0.87,0.55,0.57,0.43,0.16,87,-25.3,1
639,Tema 639,7,Melendi - Reflexión,2024,256,electronica,trance,0.9,0.73,0.64,0.04,0.03,119,-0.2,0
640,Tema 640,60,Pink Floyd - Regreso,2020,303,latin,cumbia,0.65,0.95,0.89,0.52,0.26,182,-12.7,1
641,Tema 641,155,Luis Green - Vueltas,2022,214,electronica,electro-house,0.95,0.7,0.53,0.09,0.16,185,-17.2,0
642,Tema 642,42,Beyoncé - Cuarto,2021,136,latin,bachata,0.72,0.84,0.86,0.28,0.37,63,-9.3,0
643,Tema 643,106,Carlos González - Cuarto,2021,224,rock,rock-duro,0.93,0.47,0.61,0.11,0.33,105,-28.8,0
644,Tema 644,113,Alex González - 25 Aniversario,2023,286,indie,dream-pop,0.74,0.7,0.45,0.31,0.31,123,-22.4,0
645,Tema 645,199,Ana Ramírez - Debut,2024,314,flamenco,flamenco-pop,0.85,0.44,0.45,0.99,0.27,160,-4.6,0
646,Tema 646,191,Ana Fernández - 25 Aniversario,2024,394,pop,synth-pop,0.53,0.74,0.74,0.28,0.27,69,-12.7,0
647,Tema 647,116,David López - Vueltas,2020,245,rap,mumble-rap,0.83,0.7,0.61,0.05,0.28,197,-23.0,0
648,Tema 648,189,José Sánchez - Debut,2024,318,rap,mumble-rap,0.89,0.86,0.39,0.01,0.05,72,-11.8,1
649,Tema 649,113,Alex González - Reincidencia,2022,266,indie,dream-pop,0.72,0.22,0.67,0.37,0.19,102,-2.1,0
650,Tema 650,157,Alex Pérez - Debut,2024,192,r&b,smooth-jazz,0.52,0.64,0.41,0.13,0.1,175,-29.2,1
651,Tema 651,129,Ana Sánchez - Segundo Album,2021,399,indie,indie-pop,0.62,0.41,0.57,0.29,0.12,160,-10.1,0
652,Tema 652,116,David López - Debut,2021,352,rap,mumble-rap,0.99,0.62,0.66,0.12,0.23,111,-15.0,0
653,Tema 653,24,Paco de Lucía - Quinto,2022,203,flamenco,flamenco-puro,0.53,0.44,0.64,0.74,0.37,83,-17.8,1
654,Tema 654,116,David López - Regreso,2022,163,rap,mumble-rap,0.74,0.85,0.42,0.11,0.28,158,-3.0,0
655,Tema 655,131,Emma Rodríguez - 25 Aniversario,2021,313,r&b,smooth-jazz,0.68,0.7,0.67,0.48,0.12,71,-30.0,0
656,Tema 656,86,Diego Johnson - 25 Aniversario,2021,203,rap,hip-hop,0.78,0.68,0.56,0.13,0.24,105,-29.5,0
657,Tema 657,14,Bad Bunny - Reincidencia,2022,278,rock,hard-rock,0.89,0.4,0.57,0.32,0.14,133,-26.0,0
658,Tema 658,31,Extremoduro - Tercero,2021,121,latin,regional-mexicano,0.63,0.91,0.88,0.46,0.04,124,-17.9,1
659,Tema 659,128,Sofia Torres - Vueltas,2024,122,clasica,musica-clasica-instrumental,0.46,0.23,0.26,0.7,0.28,120,-19.3,1
660,Tema 660,169,Francisco Stone - Vueltas,2023,329,latin,bachata,0.69,0.7,0.76,0.54,0.38,80,-13.0,0
661,Tema 661,2,Recycled J - Cuarto,2024,262,rap,mumble-rap,0.85,0.63,0.52,0.08,0.24,113,-18.3,1
662,Tema 662,38,Bad Bunny - Debut,2022,138,r&b,neo-soul,0.48,0.53,0.53,0.14,0.07,68,-0.4,0
663,Tema 663,155,Luis Green - Quinto,2022,164,electronica,house,0.78,0.79,0.74,0.15,0.23,87,-5.6,0
664,Tema 664,46,Doja Cat - Tercero,2022,210,rap,rap-consciente,0.8,0.71,0.46,0.13,0.27,152,-20.5,0
665,Tema 665,24,Paco de Lucía - Reflexión,2022,285,flamenco,flamenco-pop,0.55,0.65,0.45,0.83,0.28,157,-9.0,0
666,Tema 666,195,Francisco Fernández - Reincidencia,2024,153,r&b,r&b-contemporaneo,0.66,0.76,0.6,0.39,0.25,180,-24.4,1
667,Tema 667,178,Miguel González - Quinto,2022,389,indie,dream-pop,0.31,0.34,0.52,0.51,0.34,194,-24.1,1
668,Tema 668,54,Oasis - 25 Aniversario,2020,175,pop,synth-pop,0.45,0.84,0.54,0.24,0.23,195,-13.8,0
669,Tema 669,124,Luis García - Evolución,2024,267,latin,bachata,0.63,0.71,0.63,0.43,0.22,141,-23.0,0
670,Tema 670,148,María Pérez - 25 Aniversario,2022,186,r&b,smooth-jazz,0.62,0.75,0.42,0.3,0.28,193,-22.4,0
671,Tema 671,128,Sofia Torres - Vueltas,2021,239,clasica,opera,0.25,0.18,0.65,0.94,0.23,109,-8.1,1
672,Tema 672,7,Melendi - Vueltas,2020,226,electronica,trance,0.75,0.82,0.53,0.03,0.28,166,-13.3,0
673,Tema 673,86,Diego Johnson - Nuevo,2024,228,rap,trap-latino,0.81,0.92,0.31,0.06,0.02,111,-7.0,0
